SchoolYear,DistrictNCES,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate
2020-2021,2010950,893614,Quinter Unified School District 293,Public,Quinter,KS,339,08/20/2020,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12/30/2020
2020-2021,2010980,893835,Blue Valley School District 384,Public,Randolph,KS,213,08/26/2020,Hybrid,Unknown,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/18/2020
2020-2021,2000020,893652,Western Plains Unified School Dist 106,Public,Ransom,KS,120,08/18/2020,Unknown,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11/20/2020
2020-2021,2000014,893873,Central Heights School District 288,Public,Richmond,KS,580,08/31/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/29/2020
2020-2021,2011100,893853,Riley County Unified School District 378,Public,Riley,KS,740,08/20/2020,Other,Yes,Yes,Unknown,No,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,01/08/2021
2020-2021,2011130,893798,Riverton Unified School District 404,Public,Riverton,KS,784,08/19/2020,Hybrid,Yes,Yes,No,No,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,12/17/2020
2020-2021,2011190,893564,Rolla Unified School District 217,Public,Rolla,KS,121,08/18/2020,Other,Yes,No,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/11/2020
2020-2021,2011220,893720,Flinthills Unified School District 492,Public,Rosalia,KS,290,08/27/2020,Hybrid,Yes,Unknown,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,12/29/2020
2020-2021,2011250,893721,Rose Hill Unified School District 394,Public,Rose Hill,KS,1619,09/08/2020,Hybrid,Yes,Unknown,No,No,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,01/08/2021
2020-2021,2011280,893642,Pawnee Heights Unified School Dist 496,Public,Rozel,KS,141,08/27/2020,Unknown,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,12/14/2020
2020-2021,2011310,893631,Russell Unified School District 407,Public,Russell,KS,875,09/02/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,12/18/2020
2020-2021,2000350,81096415,Prairie Hills Unified School Dist 113,Public,Sabetha,KS,1022,08/25/2020,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/23/2020
2020-2021,2011880,893615,Saint Francis Unified School Dist 297,Public,Saint Francis,KS,286,08/20/2020,On Premises,Yes,Yes,No,Yes,Not required,Unknown,Yes,Unknown,Closed indefinitely,Yes,01/26/2021
2020-2021,2000004,893834,Rock Creek Unified School District 323,Public,Saint George,KS,985,08/20/2020,On Premises,Yes,No,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/13/2021
2020-2021,2011910,893643,St John-Hudson Unified School Dist 350,Public,Saint John,KS,305,08/27/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/29/2020
2020-2021,2007970,893855,Kaw Valley Unified School District 321,Public,Saint Marys,KS,1222,08/27/2020,On Premises,Yes,Pending,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/06/2021
2020-2021,2011370,893687,Salina Unified School District 305,Public,Salina,KS,7165,09/01/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/12/2021
2020-2021,2011400,893584,Satanta Unified School District 507,Public,Satanta,KS,289,08/31/2020,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,12/29/2020
2020-2021,2005310,893766,Pike Valley Unified School District 426,Public,Scandia,KS,235,08/28/2020,On Premises,Yes,Pending,Pending,Pending,Not required,Required for middle/high school students only,Yes,Yes,Never closed,Yes,10/12/2020
2020-2021,2000017,893585,Scott County Unified School District 466,Public,Scott City,KS,976,08/26/2020,On Premises,Yes,Unknown,Unknown,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,10/20/2020
2020-2021,2010410,893861,Santa Fe Trail Unified Schl District 434,Public,Scranton,KS,1070,08/31/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,01/06/2021
2020-2021,2011520,893683,Chautauqua County Unified Schl Dist 286,Public,Sedan,KS,366,08/25/2020,Online Only,No,Yes,Yes,Yes,Not required,Not required,Yes,Unknown,Never closed,Yes,12/29/2020
2020-2021,2011550,893722,Sedgwick Unified School District 439,Public,Sedgwick,KS,480,09/02/2020,On Premises,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/18/2020
2020-2021,2011040,893616,Golden Plains Unified School Dist 316,Public,Selden,KS,220,08/19/2020,On Premises,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,01/25/2021
2020-2021,2000353,893856,Nemaha Central Unified School Dist 115,Public,Seneca,KS,629,08/20/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,No,10/14/2020
2020-2021,2011610,893588,Wallace County Unified School Dist 241,Public,Sharon Springs,KS,199,08/24/2020,On Premises,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/22/2021
2020-2021,2011640,893885,Shawnee Mission Unified School Dist 512,Public,Shawnee Mission,KS,27839,09/10/2020,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,12/28/2020
2020-2021,2011700,893828,Silver Lake Unified School District 372,Public,Silver Lake,KS,723,08/26/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,01/08/2021
2020-2021,2000007,893767,Smith Center Unified School District 237,Public,Smith Center,KS,408,08/31/2020,On Premises,Yes,No,Unknown,Yes,Not required,Required for all students,Yes,Yes,Never closed,Yes,10/28/2020
2020-2021,2011760,893678,Solomon Unified School District 393,Public,Solomon,KS,325,08/26/2020,On Premises,Unknown,Unknown,No,No,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,12/08/2020
2020-2021,2011790,893723,South Haven Unified School District 509,Public,South Haven,KS,180,09/01/2020,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/18/2020
2020-2021,2011820,893586,Spearville Unified School District 381,Public,Spearville,KS,348,08/13/2020,Hybrid,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,12/29/2020
2020-2021,2011850,893874,Spring Hill Unified School District 230,Public,Spring Hill,KS,4238,08/26/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,01/15/2021
2020-2021,2011970,893644,Stafford Unified School District 349,Public,Stafford,KS,235,08/24/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/22/2020
2020-2021,2012030,893645,Sterling Unified School District 376,Public,Sterling,KS,533,08/24/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/05/2020
2020-2021,2012060,893632,Stockton Unified School District 271,Public,Stockton,KS,323,08/27/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,12/09/2020
2020-2021,2012090,893587,Sublette Unified School District 374,Public,Sublette,KS,495,09/01/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,12/11/2020
2020-2021,2012120,893679,Sylvan Unified School District 299,Public,Sylvan Grove,KS,272,08/26/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/26/2021
2020-2021,2012150,893556,Syracuse Unified School District 494,Public,Syracuse,KS,516,08/17/2020,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,No,Never closed,No,10/29/2020
2020-2021,2012180,893829,Shawnee Heights Unified School Dist 450,Public,Tecumseh,KS,3655,09/01/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/22/2020
2020-2021,2012210,893875,Tonganoxie Unified School District 464,Public,Tonganoxie,KS,1961,09/04/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,01/11/2021
2020-2021,2003200,893837,Auburn Washburn Unified Sch District 437,Public,Topeka,KS,6383,08/31/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,10/28/2020
2020-2021,2000024,108558376,Department of Corrections,Public,Topeka,KS,124,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2011490,893836,Seaman Unified School District 345,Public,Topeka,KS,4001,08/27/2020,Other,Yes,Yes,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/15/2021
2020-2021,2012260,893839,Topeka Unified School District 501,Public,Topeka,KS,14000,09/09/2020,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,12/28/2020
2020-2021,2012300,893724,Circle Unified School District 375,Public,Towanda,KS,1984,09/28/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,01/21/2021
2020-2021,2006690,893557,Greeley County Unified Schl District 200,Public,Tribune,KS,279,08/17/2020,On Premises,Yes,No,No,No,Not required,Not required,Yes,Yes,Never closed,Yes,12/08/2020
2020-2021,2012330,893876,Troy Unified School District 429,Public,Troy,KS,339,08/27/2020,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,12/30/2020
2020-2021,2012390,893725,Udall Unified School District 463,Public,Udall,KS,380,08/27/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Pending,Yes,12/29/2020
2020-2021,2012420,893558,Ulysses Unified School District 214,Public,Ulysses,KS,1754,08/26/2020,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,11/16/2020
2020-2021,2012450,893799,Uniontown Unified School District 235,Public,Uniontown,KS,456,08/27/2020,Online Only,No,Yes,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Unknown,10/28/2020
2020-2021,2012510,893726,Valley Center Unified School Dist 262,Public,Valley Center,KS,3164,09/09/2020,Hybrid,Unknown,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,10/14/2020
2020-2021,2012540,893877,Valley Falls Unified School District 338,Public,Valley Falls,KS,390,08/26/2020,Hybrid,Yes,No,Unknown,Unknown,Unknown,Required for high school students only,Yes,Yes,Never closed,Yes,12/11/2020
2020-2021,2004560,893830,Vermillion Unified School District 380,Public,Vermillion,KS,641,08/24/2020,On Premises,Yes,Unknown,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/15/2020
2020-2021,2012600,893633,Victoria Unified School District 432,Public,Victoria,KS,300,08/26/2020,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/08/2020
2020-2021,2012630,893601,Trego Community Schools USD 208,Public,Wakeeney,KS,385,08/19/2020,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/28/2020
2020-2021,2000003,893832,Wamego Unified School District 320,Public,Wamego,KS,1534,09/02/2020,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,01/08/2021
2020-2021,2000028,893768,Washington County School District 108,Public,Washington,KS,331,08/19/2020,On Premises,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,12/09/2020
2020-2021,2012780,893833,Valley Heights Unified Schl District 498,Public,Waterville,KS,447,08/20/2020,Hybrid,Unknown,No,No,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/30/2020
2020-2021,2012810,893786,Lebo-Waverly Unified School District 243,Public,Waverly,KS,435,08/27/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/30/2020
2020-2021,2012840,893727,Wellington Unified School District 353,Public,Wellington,KS,1594,09/08/2020,Online Only,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,10/28/2020
2020-2021,2012870,893879,Wellsville Unified School District 289,Public,Wellsville,KS,829,08/27/2020,Hybrid,Unknown,Unknown,No,Yes,Required for all staff,Unknown,Unknown,Unknown,Unknown,No,12/22/2020
2020-2021,2012900,893589,Weskan Unified School District 242,Public,Weskan,KS,110,08/24/2020,On Premises,Yes,No,No,No,Not required,Not required,No,Yes,Never closed,Yes,11/12/2020
2020-2021,2007440,893669,Rural Vista Unified School District 481,Public,White City,KS,359,08/26/2020,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,12/29/2020
2020-2021,2006240,893729,Remington Unified School District 206,Public,Whitewater,KS,517,08/17/2020,On Premises,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Yes,12/11/2020
2020-2021,2012990,893701,Wichita Unified School District 259,Public,Wichita,KS,51542,09/08/2020,Online Only,Yes,Yes,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Yes,12/28/2020
2020-2021,2013020,893880,Jefferson Cnty N Unified Schl Dist 339,Public,Winchester,KS,472,08/25/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,12/11/2020
2020-2021,2013050,893700,Winfield Unified School District 465,Public,Winfield,KS,2443,09/09/2020,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/13/2021
2020-2021,2000013,893590,Triplains Unified School District 275,Public,Winona,KS,66,08/17/2020,Online Only,Yes,Unknown,Unknown,Yes,Unknown,Required for high school students only,Unknown,Unknown,Unknown,Yes,12/04/2020
2020-2021,2013110,893800,Woodson Unified School District 366,Public,Yates Center,KS,498,08/20/2020,On Premises,Yes,No,No,Yes,Not required,Not required,Unknown,No,Never closed,No,12/11/2020
2020-2021,2101260,899390,Clinton County School District,Public,Albany,KY,2386,08/17/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/13/2021
2020-2021,2100900,899487,Campbell County School District,Public,Alexandria,KY,5450,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2100150,899481,Ashland Independent School District,Public,Ashland,KY,3246,09/28/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,01/26/2021
2020-2021,2100620,899480,Boyd County School District,Public,Ashland,KY,3898,09/09/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/19/2020
2020-2021,2101800,899478,Fairview Independent School District,Public,Ashland,KY,870,08/27/2020,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Closed 1-5 days,Unknown,12/23/2020
2020-2021,2100180,899488,Augusta Independent School District,Public,Augusta,KY,300,09/28/2020,Online Only,No,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/11/2020
2020-2021,2100240,899515,Barbourville Independent Schools,Public,Barbourville,KY,718,09/04/2020,Hybrid,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,No,Never closed,Yes,12/17/2020
2020-2021,2103150,899482,Knox County Public Schools,Public,Barbourville,KY,5191,09/08/2020,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/30/2020
2020-2021,2100270,899560,Bardstown Independent School District,Public,Bardstown,KY,3778,09/08/2020,Hybrid,Yes,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/15/2021
2020-2021,2104410,899561,Nelson County School District,Public,Bardstown,KY,5345,08/25/2020,Online Only,Yes,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,10/19/2020
2020-2021,2100960,899443,Carlisle County School District,Public,Bardwell,KY,796,08/24/2020,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,01/11/2021
2020-2021,2100210,899444,Ballard County School District,Public,Barlow,KY,1875,08/26/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,10/28/2020
2020-2021,2103270,899459,Lee County School District,Public,Beattyville,KY,1032,09/24/2020,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/12/2020
2020-2021,2105610,899562,Trimble County Public Schools,Public,Bedford,KY,1486,08/26/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/08/2021
2020-2021,2100420,899470,Bellevue Independent School District,Public,Bellevue,KY,780,09/28/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/19/2020
